seed,format,pearson,pearson_de,pearson_delta,pearson_de_delta,spearmanr,spearmanr_de,spearmanr_delta,spearmanr_de_delta,rmse,rmse_de,rmse_delta,rmse_de_delta,mae,mae_de,mae_delta,mae_de_delta,val_loss,n_test_conditions,n_test_samples
1,old,0.905024000063644,0.7803996070054362,0.4118718069385068,0.6671830235512831,0.8894666364261816,0.6104022874922328,0.2774292395142292,0.6458646616541353,0.0433208406964685,0.280026146956864,0.0433208405142055,0.2800261454551259,0.0195294672157615,0.2334454380907118,0.0195294669829309,0.2334454343654215,
2,new,0.917695,0.839707,0.227984,0.594451,0.891054,0.664986,0.204151,0.572838,0.042469,0.326308,0.042469,0.326308,0.018595,0.268304,0.018595,0.268304,0.022908,16.000000,8589.000000
3,new,0.873741,0.817779,0.597083,0.768186,0.879455,0.576573,0.389146,0.741259,0.048417,0.351045,0.048417,0.351045,0.021272,0.300942,0.021272,0.300942,0.021722,16.000000,5962.000000
4,new,0.909534,0.740340,0.431683,0.566081,0.878168,0.616514,0.338482,0.515977,0.041866,0.293805,0.041866,0.293805,0.019125,0.246031,0.019125,0.246031,0.023290,16.000000,10030.000000
5,new,0.924822,0.802482,0.441006,0.697824,0.898937,0.636711,0.324629,0.692832,0.038697,0.269241,0.038697,0.269241,0.017377,0.218397,0.017377,0.218397,0.022946,16.000000,8001.000000
6,new,0.901660,0.831995,0.433938,0.477979,0.890565,0.567796,0.308361,0.490414,0.043757,0.320151,0.043757,0.320151,0.019315,0.261777,0.019315,0.261777,0.021501,16.000000,8866.000000
7,new,0.843137,0.395680,0.560610,0.708742,0.742860,0.366013,0.415533,0.700940,0.052189,0.171545,0.052189,0.171545,0.027197,0.119213,0.027197,0.119213,0.022719,16.000000,7285.000000
8,new,0.851889,0.622622,0.352410,0.042838,0.854377,0.399793,0.259059,0.154987,0.051983,0.366291,0.051983,0.366291,0.022744,0.298975,0.022744,0.298975,0.021968,16.000000,5436.000000
9,new,0.906080,0.738478,0.530389,0.622501,0.887373,0.550635,0.397735,0.578847,0.042794,0.291229,0.042794,0.291229,0.018967,0.239540,0.018967,0.239540,0.021736,16.000000,7094.000000
10,new,0.876524,0.743227,0.327462,0.444919,0.891262,0.632080,0.208351,0.483271,0.046466,0.361929,0.046466,0.361929,0.019993,0.313544,0.019993,0.313544,0.022398,16.000000,8245.000000
mean,summary,0.889454,0.725812,0.433618,0.547058,0.868228,0.556789,0.316161,0.547930,0.045404,0.305727,0.045404,0.305727,0.020509,0.251858,0.020509,0.251858,0.022354,16.000000,7723.111111
std,summary,0.029256,0.140931,0.118543,0.216654,0.048726,0.105430,0.078991,0.175455,0.004679,0.060416,0.004679,0.060416,0.002953,0.058847,0.002953,0.058847,0.000645,0.000000,1442.541026
