seed,pearson,pearson_delta,pearson_de,pearson_de_delta,spearman,spearman_delta,spearman_de,spearman_de_delta,mse,mse_delta,mse_de,mse_de_delta,rmse,rmse_delta,rmse_de,rmse_de_delta
1,0.8836,0.5269,0.3184,0.4958,0.9049,0.4547,0.4151,0.4137,0.0106,0.0106,1.0589,1.0589,0.0906,0.0906,0.893,0.893
2,0.9142,0.6161,0.4291,0.6854,0.9136,0.4912,0.5145,0.5594,0.0081,0.0081,0.8448,0.8448,0.0801,0.0801,0.7948,0.7948
3,0.9271,0.6318,0.4997,0.6344,0.9209,0.56,0.5807,0.5545,0.0071,0.0071,0.8725,0.8725,0.0735,0.0735,0.7836,0.7836
4,0.9279,0.6161,0.6189,0.6686,0.9219,0.4984,0.6721,0.6255,0.0068,0.0068,0.5383,0.5383,0.0668,0.0668,0.5829,0.5829
5,0.9256,0.6171,0.4997,0.6609,0.9328,0.5344,0.5476,0.5803,0.0071,0.0071,0.6439,0.6439,0.0738,0.0738,0.7012,0.7012
6,0.9114,0.5479,0.5658,0.6635,0.9156,0.4799,0.627,0.5746,0.0082,0.0082,0.6286,0.6286,0.0799,0.0799,0.6747,0.6747
7,0.9047,0.4522,0.521,0.583,0.9104,0.4053,0.5721,0.5236,0.0095,0.0095,0.8184,0.8184,0.0863,0.0863,0.8095,0.8095
8,0.9253,0.6722,0.3751,0.7069,0.9221,0.561,0.4434,0.5613,0.0069,0.0069,0.8704,0.8704,0.0729,0.0729,0.7925,0.7925
9,0.9281,0.6329,0.6346,0.6224,0.9239,0.5374,0.6829,0.5552,0.0067,0.0067,0.6301,0.6301,0.0678,0.0678,0.6677,0.6677
10,0.9105,0.5174,0.6039,0.5243,0.9131,0.4226,0.6581,0.5065,0.0086,0.0086,0.6766,0.6766,0.0765,0.0765,0.632,0.632
